Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
158674,Nervous Conditions,Tsitsi Dangarembga,"Dangarembga, Tsitsi",,"=""1580051340""","=""9781580051347""",0,4.04,Seal Press,Paperback,204,2004,1988,,2021/12/15,to-read,to-read (#219),to-read,,,,0,0
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,"=""0062993151""","=""9780062993151""",0,3.93,Harper Wave,Hardcover,309,2021,2021,,2021/12/14,to-read,to-read (#218),to-read,,,,0,0
53972214,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""1782276122""","=""9781782276128""",0,4.14,Pushkin Press,Hardcover,192,2020,2019,,2021/12/09,to-read,to-read (#217),to-read,,,,0,0
56354,Who Cooked the Last Supper: The Women's History of the World,Rosalind Miles,"Miles, Rosalind",,"=""0609806955""","=""9780609806951""",0,3.84,Crown,Paperback,352,2001,1989,,2021/11/07,to-read,to-read (#216),to-read,,,,0,0
26892110,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,"=""0553418629""","=""9780553418620""",0,4.09,Crown,Paperback,390,2016,2015,,2021/11/06,to-read,to-read (#215),to-read,,,,0,0
55825856,The Brilliant Abyss,Helen Scales,"Scales, Helen",,"=""0802158242""","=""9780802158246""",0,4.03,Atlantic Monthly Press,ebook,288,2021,2021,,2021/11/03,to-read,to-read (#214),to-read,,,,0,0
55200380,Termination Shock,Neal Stephenson,"Stephenson, Neal",,"=""0063028077""","=""9780063028074""",0,3.84,William Morrow,ebook,896,2021,2021,,2021/09/13,to-read,to-read (#213),to-read,,,,0,0
18952341,"The Grace of Kings (The Dandelion Dynasty, #1)",Ken Liu,"Liu, Ken",,"=""1481424270""","=""9781481424271""",0,3.76,Saga Press,Hardcover,640,2015,2015,,2021/09/13,to-read,to-read (#212),to-read,,,,0,0
56143578,Apples Never Fall,Liane Moriarty,"Moriarty, Liane",,"=""1250220254""","=""9781250220257""",0,3.79,Henry Holt and Co.,Hardcover,467,2021,2021,,2021/09/08,to-read,to-read (#211),to-read,,,,0,0
270032,Seven Years in Tibet,Heinrich Harrer,"Harrer, Heinrich",,"=""0874778883""","=""9780874778885""",0,4.09,Tarcher,Paperback,330,1997,1953,,2021/09/07,to-read,to-read (#210),to-read,,,,0,0
40604846,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"Demick, Barbara",,"=""""","=""""",0,4.44,Spiegel & Grau,Kindle Edition,338,2009,2009,,2021/09/07,to-read,to-read (#209),to-read,,,,0,0
53256108,All's Well,Mona Awad,"Awad, Mona",,"=""""","=""""",0,3.69,Simon & Schuster,Hardcover,352,2021,2021,,2021/08/31,to-read,to-read (#208),to-read,,,,0,0
5928417,In the Graveyard of Empires: America's War in Afghanistan,Seth G. Jones,"Jones, Seth G.",,"=""0393068986""","=""9780393068986""",0,3.86,W. W. Norton & Company,Hardcover,448,2009,2009,,2021/08/27,to-read,to-read (#207),to-read,,,,0,0
58041115,And Then There Were [N-One],Sarah Pinsker,"Pinsker, Sarah",,"=""""","=""""",0,4.32,Uncanny Magazine,Paperback,,2017,,,2021/08/21,to-read,to-read (#206),to-read,,,,0,0
57004637,The Book of Form and Emptiness,Ruth Ozeki,"Ozeki, Ruth",,"=""0399563644""","=""9780399563645""",0,4.06,Viking,Hardcover,548,2021,2021,,2021/08/21,to-read,to-read (#205),to-read,,,,0,0
43263520,The Grace Year,Kim Liggett,"Liggett, Kim",,"=""1250145449""","=""9781250145444""",0,4.15,Wednesday Books,Hardcover,416,2019,2019,,2021/08/20,to-read,to-read (#204),to-read,,,,0,0
54369251,A Wizard’s Guide to Defensive Baking,T. Kingfisher,"Kingfisher, T.",,"=""1614505241""","=""9781614505242""",0,4.16,Argyll Productions,Paperback,308,2020,2020,,2021/08/16,to-read,to-read (#203),to-read,,,,0,0
37794149,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,"Martine, Arkady",,"=""1529001587""","=""9781529001587""",4,4.13,Tor,Paperback,462,2019,2019,2021/07/22,2021/07/22,,,read,,,,2,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",3,4.04,Flatiron Books,Hardcover,461,2019,2019,2021/07/22,2021/06/25,,,read,,,,2,0
42815544,Bunny,Mona Awad,"Awad, Mona",,"=""0525559736""","=""9780525559733""",4,3.56,Viking,Hardcover,307,2019,2019,2021/07/22,2020/05/22,,,read,,,,2,0
50629448,The Daughters of Foxcote Manor,Eve Chase,"Chase, Eve",,"=""""","=""""",0,4.01,G.P. Putnam's Sons,Kindle Edition,386,2020,2020,,2021/07/18,to-read,to-read (#202),to-read,,,,0,0
54072857,In the Quick,Kate Hope Day,"Day, Kate Hope",,"=""0525511253""","=""9780525511250""",0,3.39,Random House,Hardcover,251,2021,2021,,2021/07/07,to-read,to-read (#201),to-read,,,,0,0
25526296,"Every Heart a Doorway (Wayward Children, #1)",Seanan McGuire,"McGuire, Seanan",,"=""0765385503""","=""9780765385505""",0,3.82,Tor.com,Hardcover,169,2016,2016,,2021/07/04,to-read,to-read (#200),to-read,,,,0,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",2,4.02,Viking,Hardcover,304,2020,2020,,2021/06/25,,,read,,,,1,0
56552361,Alias Space and Other Stories,Kelly Robson,"Robson, Kelly",,"=""1645240258""","=""9781645240259""",0,3.86,Subterranean Press,Hardcover,420,2021,2021,,2021/06/25,to-read,to-read (#199),to-read,,,,0,0
27405160,"Good Morning, Midnight",Lily Brooks-Dalton,"Brooks-Dalton, Lily",,"=""0812998901""","=""9780812998900""",0,3.90,Random House,ebook,218,2016,2016,,2021/06/23,to-read,to-read (#198),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4,3.76,Alfred A. Knopf,Hardcover,303,2021,2021,2021/06/02,2021/03/02,,,read,,,,1,0
26114364,"Waypoint Kangaroo (Kangaroo, #1)",Curtis C. Chen,"Chen, Curtis C.",,"=""1250081785""","=""9781250081780""",0,3.93,Thomas Dunne Books,Hardcover,320,2016,2016,,2021/05/21,to-read,to-read (#197),to-read,,,,0,0
627206,The New Drawing on the Right Side of the Brain,Betty Edwards,"Edwards, Betty",,"=""0874774241""","=""9780874774245""",0,3.87,Tarcher,Paperback,291,1999,1979,,2021/03/05,to-read,to-read (#196),to-read,,,,0,0
33789669,The Moth - All These Wonders,Catherine  Burns,"Burns, Catherine",,"=""""","=""""",0,4.42,Serpent's Tail,Kindle Edition,408,2017,2017,,2017/09/19,to-read,to-read (#50),to-read,,,,0,0
1862302,Art of Plain Talk,Rudolf Flesch,"Flesch, Rudolf",,"=""0020463804""","=""9780020463801""",0,4.04,MacMillan Publishing Company.,Paperback,0,1977,1946,,2021/01/25,to-read,to-read (#195),to-read,,,,0,0
53119333,The Citizen's Guide to Climate Success: Overcoming Myths That Hinder Progress,Mark Jaccard,"Jaccard, Mark",,"=""1108742661""","=""9781108742665""",0,4.40,Cambridge University Press,Paperback,296,2020,2020,,2021/01/25,to-read,to-read (#194),to-read,,,,0,0
50358103,Money: The True Story of a Made-Up Thing,Jacob Goldstein,"Goldstein, Jacob",,"=""031641719X""","=""9780316417198""",0,4.19,Hachette Books,Hardcover,272,2020,2020,,2021/01/13,to-read,to-read (#193),to-read,,,,0,0
25189315,Smoke Gets in Your Eyes & Other Lessons from the Crematory,Caitlin Doughty,"Doughty, Caitlin",,"=""0393351904""","=""9780393351903""",0,4.21,W. W. Norton & Company,Paperback,254,2015,2014,,2021/01/04,to-read,to-read (#192),to-read,,,,0,0
53054943,The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,Vincent Bevins,"Bevins, Vincent",,"=""1541742400""","=""9781541742406""",0,4.61,PublicAffairs,Hardcover,320,2020,2020,,2021/01/04,to-read,to-read (#191),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.21,Tor Books,Hardcover,444,2020,2020,,2020/11/10,to-read,to-read (#190),to-read,,,,0,0
50998056,The Ministry for the Future,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316300136""","=""9780316300131""",0,3.89,Orbit,Hardcover,563,2020,2020,,2020/11/03,to-read,to-read (#189),to-read,,,,0,0
344574,Seventy-Eight Degrees of Wisdom: A Book of Tarot,Rachel Pollack,"Pollack, Rachel",,"=""0722535724""","=""9780722535721""",0,4.32,Thorsons,Paperback,356,1998,1980,,2020/09/18,to-read,to-read (#188),to-read,,,,0,0
49127718,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""198216963X""","=""9781982169633""",0,4.19,Atria Books,Hardcover,336,2020,2019,,2020/09/16,to-read,to-read (#187),to-read,,,,0,0
6277227,White Is for Witching,Helen Oyeyemi,"Oyeyemi, Helen",,"=""0330458140""","=""9780330458146""",0,3.55,Picador,Hardcover,256,2009,2009,,2020/09/16,to-read,to-read (#186),to-read,,,,0,0
48828984,The Shame,Makenna Goodman,"Goodman, Makenna",,"=""157131136X""","=""9781571311368""",0,3.67,Milkweed Editions,Paperback,160,2020,2020,,2020/09/16,to-read,to-read (#185),to-read,,,,0,0
50358031,Leave the World Behind,Rumaan Alam,"Alam, Rumaan",,"=""0062667637""","=""9780062667632""",0,3.19,Ecco,Hardcover,241,2020,2020,,2020/09/15,to-read,to-read (#184),to-read,,,,0,0
42121525,Migrations,Charlotte McConaghy,"McConaghy, Charlotte",,"=""125020402X""","=""9781250204028""",0,4.15,Flatiron Books,Hardcover,256,2020,2020,,2020/09/15,to-read,to-read (#183),to-read,,,,0,0
49107539,The Butterfly Effect: Insects and the Making of the Modern World,Edward D. Melillo,"Melillo, Edward D.",,"=""1524733210""","=""9781524733216""",0,3.62,Knopf,Hardcover,272,2020,2020,,2020/09/15,to-read,to-read (#182),to-read,,,,0,0
12413727,Nine Algorithms That Changed the Future: The Ingenious Ideas That Drive Today's Computers,John    MacCormick,"MacCormick, John",,"=""0691147140""","=""9780691147147""",0,3.87,Princeton University Press,Hardcover,219,2012,2012,,2020/09/15,to-read,to-read (#181),to-read,,,,0,0
25622754,"Women After All: Sex, Evolution, and the End of Male Supremacy",Melvin Konner MD,"MD, Melvin Konner",,"=""0393352315""","=""9780393352313""",0,3.65,W. W. Norton & Company,Paperback,416,2016,2015,,2020/08/31,to-read,to-read (#180),to-read,,,,0,0
6572270,Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,"Snyder, Timothy",,"=""0465002390""","=""9780465002399""",0,4.37,Basic Books,Hardcover,524,2010,2010,,2020/08/13,to-read,to-read (#179),to-read,,,,0,0
38357895,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",0,3.71,Portobello Books,Paperback,163,2018,2016,,2020/08/08,to-read,to-read (#178),to-read,,,,0,0
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""""","=""""",0,4.52,The New Press Inc.,Hardcover,290,2010,2010,,2020/08/08,to-read,to-read (#177),to-read,,,,0,0
108428,Are Prisons Obsolete?,Angela Y. Davis,"Davis, Angela Y.",,"=""1583225811""","=""9781583225813""",0,4.55,Seven Stories Press,Paperback,128,2003,2003,,2020/08/08,to-read,to-read (#176),to-read,,,,0,0
34594037,Magic for Liars,Sarah Gailey,"Gailey, Sarah",,"=""""","=""""",4,3.63,Tor,Kindle Edition,336,2019,2019,,2020/03/20,,,read,,,,1,0
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""0525509283""","=""9780525509288""",0,4.38,One World,Hardcover,305,2019,2019,,2020/06/21,to-read,to-read (#175),to-read,,,,0,0
2767,A People's History of the United States,Howard Zinn,"Zinn, Howard",,"=""0060838655""","=""9780060838652""",0,4.07,Harper Perennial,Paperback,729,2005,1980,,2020/06/05,to-read,to-read (#174),to-read,,,,0,0
32191706,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,"Rothstein, Richard",,"=""1631492853""","=""9781631492853""",0,4.45,Liveright,Hardcover,368,2017,2017,,2020/06/05,to-read,to-read (#173),to-read,,,,0,0
29430746,Heavy,Kiese Laymon,"Laymon, Kiese",,"=""1501125656""","=""9781501125652""",0,4.48,Scribner,Hardcover,241,2018,2018,,2020/05/29,to-read,to-read (#172),to-read,,,,0,0
28256439,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,"Wohlleben, Peter","Tim Flannery, Jane Billinghurst, Suzanne Simard","=""1771642483""","=""9781771642484""",0,4.07,Greystone Books,Hardcover,272,2016,2015,,2020/04/30,to-read,to-read (#171),to-read,,,,0,0
44016632,Providence,Max Barry,"Barry, Max",,"=""1529352037""","=""9781529352030""",3,3.86,Hodder & Stoughton,Hardcover,352,2020,2020,2020/04/25,2020/03/31,,,read,,,,1,0
45999201,The Glass Hotel,Emily St. John Mandel,"Mandel, Emily St. John",,"=""""","=""""",3,3.69,Vintage,Kindle Edition,302,2020,2020,2020/04/08,2020/01/07,,,read,,,,1,0
219445,The Science Fiction Hall of Fame: Volume III: The Nebula Winners,Arthur C. Clarke,"Clarke, Arthur C.",George W. Proctor,"=""0380793350""","=""9780380793358""",0,4.29,Avon Books,Paperback,672,1982,1981,,2020/04/08,to-read,to-read (#170),to-read,,,,0,0
141860,"The Science Fiction Hall of Fame, Volume One, 1929-1964",Robert Silverberg,"Silverberg, Robert",,"=""0765305372""","=""9780765305374""",0,4.33,Orb Books,Paperback,560,2005,1970,,2020/04/08,to-read,to-read (#169),to-read,,,,0,0
36525023,Women & Power: A Manifesto,Mary Beard,"Beard, Mary",,"=""1631494759""","=""9781631494758""",0,4.03,Liveright,Hardcover,115,2017,2017,,2020/04/07,to-read,to-read (#168),to-read,,,,0,0
36075657,The Overstory,Richard Powers,"Powers, Richard",,"=""""","=""""",0,4.12,W. W. Norton & Company,Kindle Edition,502,2018,2018,,2020/03/29,to-read,to-read (#167),to-read,,,,0,0
42839296,"Hollow Kingdom (Hollow Kingdom, #1)",Kira Jane Buxton,"Buxton, Kira Jane",,"=""1538745828""","=""9781538745823""",0,3.83,Grand Central Publishing,Hardcover,308,2019,2019,,2020/03/28,to-read,to-read (#166),to-read,,,,0,0
40396699,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""""","=""""",1,4.18,Celadon Books,Kindle Edition,325,2019,2019,2020/03/24,2019/10/23,,,read,,,,1,0
32075854,"Magpie Murders (Susan Ryeland, #1)",Anthony Horowitz,"Horowitz, Anthony",,"=""0062645226""","=""9780062645227""",0,3.95,Harper,Hardcover,477,2017,2016,,2020/03/20,to-read,to-read (#165),to-read,,,,0,0
52220595,Follow Me to Ground,Sue Rainsford,"Rainsford, Sue",,"=""1982133635""","=""9781982133634""",0,3.56,Scribner,Hardcover,208,2020,2018,,2020/01/12,to-read,to-read (#145),to-read,,,,0,0
522426,A Life's Work: On Becoming a Mother,Rachel Cusk,"Cusk, Rachel",,"=""0312311303""","=""9780312311308""",0,3.92,Picador,Paperback,224,2003,2001,,2020/02/28,to-read,to-read (#164),to-read,,,,0,0
